Binomial,Normal,Uniform
Var(0.81),,
,,
1,4.893970449,0.240589509
3,3.33612131,0.435230074
1,4.198202853,0.000216148
2,2.672232266,0.228450485
0,3.647283961,0.217875294
1,5.070339747,0.358922316
1,2.340796206,0.08172405
2,5.280289928,0.21756203
1,4.470832198,0.282356905
2,4.73068897,0.132825614
1,1.614646972,0.08602014
2,3.774986299,0.409457926
1,3.208011185,0.391958103
1,3.320630498,0.0261888
0,4.698015183,0.30587274
1,4.900796047,0.081845249
2,2.524871759,0.40785366
1,3.95516703,0.136458262
0,3.998195143,0.262254157
1,4.679060726,0.203740541
2,3.954032143,0.041512223
1,4.062880699,0.297203549
3,4.021691186,0.441715136
1,3.637872324,0.190010385
1,4.872625202,0.197652877
1,4.679092251,0.254564924
0,4.175597637,0.187782491
1,4.849038653,0.317503765
2,3.057012121,0.310139507
1,2.96944678,0.485763737
0,3.233189221,0.291327783
4,3.309195181,0.235815937
2,3.902230004,0.053985432
3,4.406926623,0.296594257
2,4.251126659,0.457859172
0,3.227129367,0.240590315
2,4.767359271,0.443144119
1,3.757649769,0.224060535
1,4.273058672,0.104182125
0,3.025493561,0.278308521
1,4.07745933,0.373648459
2,4.376937518,0.207180212
1,3.160648939,0.322521179
1,4.406245284,0.08615764
0,2.344839498,0.259841962
1,4.05701101,0.013575332
1,2.579025026,0.429003438
1,1.641135823,0.348428181
2,4.089834285,0.018829008
2,3.102181877,0.025348265
1,2.570059819,0.050974128
1,4.412407847,0.222577929
0,3.983993792,0.043500835
2,4.421145263,0.327366979
1,4.339394696,0.176766773
0,5.831133568,0.132141834
1,2.052786894,0.370611542
4,4.395638761,0.381617171
0,3.741386094,0.467902436
1,5.545833343,0.375485737
2,5.091093144,0.251085991
2,3.175264179,0.021176549
1,5.201905381,0.080549966
1,5.809778152,0.186881487
2,4.738924025,0.468746467
3,3.320918287,0.164716294
0,4.672681558,0.284388235
1,4.242143147,0.082520536
1,3.00113415,0.03985179
1,5.875902656,0.490096647
0,4.691480426,0.344829354
1,4.909417533,0.174746908
2,2.761046391,0.295051385
2,4.46317679,0.305319811
0,4.322640863,0.15152536
1,3.643682014,0.236222045
0,5.293847567,0.042369564
0,4.535329623,0.217150594
0,2.707206336,0.241650591
1,3.436213129,0.35611528
1,2.766623206,0.013831817
2,2.482205671,0.44793988
0,4.658349023,0.323225059
2,4.077083068,0.498970079
1,2.583849317,0.4908063
3,4.403702973,0.314337762
0,3.52270053,0.216819327
2,3.457521766,0.488276326
0,3.711732573,0.46746088
0,4.267158475,0.038964574
0,2.320067216,0.276744646
1,4.871315403,0.01482701
2,3.874953036,0.221729321
0,3.720730322,0.209321617
1,4.932499687,0.353264984
0,3.539795033,0.021067091
1,4.819448182,0.005561968
0,4.565347203,0.229751131
2,2.49443724,0.491516165
1,3.22904627,0.285924358
2,5.444787648,0.168784812
1,4.339257411,0.241298499
1,3.798366412,0.398224469
0,3.08272811,0.068170058
1,3.978129187,0.103805826
0,2.449505444,0.082676702
1,4.603993387,0.073554302
2,3.547773823,0.482461986
0,4.077828473,0.364829806
2,3.43603415,0.099192799
2,3.763932329,0.278144977
2,4.243604468,0.267485911
1,3.131880143,0.084791859
2,3.89958295,0.346512205
3,2.860096879,0.202026175
0,1.010219542,0.204724712
2,3.819220485,0.207059871
1,4.092381681,0.140653234
1,3.070901277,0.461075683
0,5.138237767,0.329950114
1,2.512501888,0.045737956
0,2.81183974,0.298132462
3,5.470153815,0.064568946
1,5.057477685,0.237286437
0,4.034817648,0.495765581
1,4.098106967,0.01943321
0,4.898078824,0.45921626
3,3.672985713,0.068554106
0,3.152230838,0.37553515
0,3.9679274,0.236374546
2,3.705478487,0.04007898
1,2.944538229,0.221321551
0,3.664415072,0.204619478
1,3.477150445,0.17355934
1,3.432820668,0.131942721
1,3.733342221,0.415121856
0,4.174679354,0.017409873
0,5.558471681,0.088028914
2,4.544970068,0.137626451
2,4.503985973,0.235040764
0,1.962321283,0.441003981
0,5.864334122,0.205759137
0,5.023199191,0.366145262
1,3.552315408,0.018285204
0,4.334095502,0.184653884
1,5.668401229,0.09146012
0,2.818486359,0.335501436
2,3.215103217,0.065270366
1,4.152371079,0.125926176
2,3.532430465,0.326639684
1,4.332180633,0.03399573
1,3.63025861,0.477731677
2,3.62652853,0.40845849
0,5.669833058,0.076494833
1,2.600087568,0.361418988
1,4.284936351,0.101539755
1,3.976681087,0.327594519
1,4.439631935,0.411439361
1,3.295903976,0.351626279
0,3.274961432,0.427352461
1,5.085914964,0.134180382
4,3.444346491,0.391190982
2,4.21638038,0.49229524
0,3.034955027,0.437214099
3,3.568752977,0.485326782
0,4.057242869,0.499992181
0,2.63673753,0.028872948
1,4.639973196,0.166884381
1,5.148189391,0.077168387
0,4.229792598,0.476389013
1,5.804400654,0.222164711
1,3.063595691,0.485292941
2,5.659501105,0.167632775
2,2.469685295,0.427146856
0,3.602871814,0.114937385
2,5.009846971,0.405718443
1,2.721776832,0.166494312
2,3.594808619,0.246301739
1,1.728314734,0.035041351
1,4.22367478,0.246768173
1,4.050315579,0.115887219
2,5.935421217,0.234045748
1,5.707288425,0.168957294
1,3.225636522,0.435246374
1,2.518546488,0.160298167
2,4.135899952,0.39396264
2,2.697228272,0.212754653
0,3.811027123,0.069110729
2,2.041299714,0.342130886
0,3.478039237,0.173099644
1,4.39137988,0.117270567
0,2.343464616,0.319898635
2,3.51596849,0.330155054
1,4.913200493,0.058448004
1,3.340414765,0.123508144
0,4.269237069,0.079146241
0,4.025658209,0.400897863
1,4.326190947,0.323571116
0,4.010342307,0.397595303
0,4.867870062,0.38913456
1,4.431141632,0.296180125
2,3.680649257,0.390666795
2,3.623793003,0.344252697
1,4.404350754,0.011398947
0,4.684164671,0.054723038
0,3.529567822,0.040615728
2,3.612854962,0.492731426
1,4.521918421,0.220995158
1,4.94190624,0.499109016
1,3.687257232,0.35531416
0,3.069443007,0.146031857
1,5.166077094,0.284527797
0,4.054932416,0.453155266
1,2.374749284,0.043530363
0,3.222774896,0.11735478
3,5.283446462,0.146960982
3,3.155594824,0.409470782
0,4.066148078,0.0182095
0,4.41159024,0.44116716
0,3.741371857,0.308342902
1,5.112312292,0.341308632
1,2.349175665,0.097735544
2,3.851565805,0.466445097
0,3.51954298,0.062960565
1,5.00872632,0.441370967
2,4.389777207,0.309930978
2,4.894371117,0.437794165
0,3.311056153,0.182160259
0,4.904637988,0.101565657
2,3.845731708,0.081979596
0,5.037135125,0.227271753
1,3.412937759,0.141551519
1,4.159975641,0.283135319
0,4.288654227,0.277627675
3,4.180913101,0.187057372
2,3.459076644,0.196113906
1,3.464838539,0.140332166
1,3.221975593,0.307868733
2,3.682647513,0.18449508
0,4.577084546,0.031845897
1,2.480399613,0.364213618
0,4.372450846,0.047602407
3,4.554175269,0.108906149
1,4.252734417,0.172953214
1,4.802496049,0.179182496
0,4.323781853,0.356952173
0,5.227379342,0.232952725
0,3.306465755,0.434371618
0,3.021720771,0.069322776
1,4.557344006,0.42464306
0,4.093623346,0.025151204
0,3.997587022,0.115638898
1,2.961071389,0.295277871
0,5.044416305,0.029637554
0,3.13322045,0.176084592
0,3.714138617,0.432443404
1,4.874766845,0.132334112
1,3.253545,0.258975558
0,3.264456601,0.00461791
1,2.651043625,0.458158351
2,4.715675096,0.178830392
0,3.447977929,0.39894709
0,3.470481453,0.16503637
1,4.52312246,0.427856043
1,2.91256612,0.079858648
2,3.30276415,0.397448607
2,4.011202626,0.448429873
1,4.186460425,0.135443107
0,4.39082769,0.292414001
1,5.12649839,0.40356868
3,5.992629327,0.053665246
0,3.284197141,0.152042579
0,4.589781866,0.315832383
2,5.08024866,0.395493163
0,3.61977005,0.244015171
3,2.978531984,0.07866143
1,3.930027638,0.139562857
1,3.753408176,0.252480394
3,3.817516119,0.215612194
1,3.085801256,0.133015961
1,2.570051684,0.4554206
3,4.376237873,0.291372001
1,3.891941778,0.170082974
0,4.364384601,0.490548201
3,3.451961223,0.279541292
0,3.578301899,0.480692164
0,2.55360598,0.48340498
2,4.188834944,0.1259684
1,4.389108071,0.241324085
1,3.42328395,0.14950147
0,5.019892152,0.359596211
0,3.67883608,0.200048611
0,4.517248704,0.28307289
2,3.521809705,0.164519045
2,4.666256629,0.347208311
0,3.940292475,0.038482382
0,3.667217717,0.041135653
1,2.209433956,0.098910495
0,3.633971401,0.005636003
2,4.42716444,0.456851752
0,3.73448321,0.346719944
2,3.86967113,0.242230466
0,3.550558162,0.051066247
1,4.304584351,0.127271908
0,5.724258862,0.043075195
2,3.973428962,0.147157971
2,3.892004828,0.344092301
3,5.483255871,0.436149535
2,5.412937571,0.030249691
1,5.205535802,0.187874011
1,4.751027462,0.216329844
1,3.976177709,0.181057369
0,3.958412037,0.270087417
1,4.500939267,0.134183475
2,2.68067274,0.421572899
3,2.567253107,0.373108614
0,5.023284612,0.40536561
1,3.975541114,0.20131951
0,4.464832343,0.264570622
2,4.596371538,0.453738164
0,5.50568516,0.268175407
3,4.040520561,0.356335187
0,3.692744557,0.173534092
0,3.462935873,0.383978406
1,5.601145904,0.157588506
1,3.706159827,0.282385324
1,2.074785006,0.411927919
1,3.80725535,0.149753019
2,4.317904029,0.330065493
3,3.801352103,0.17887018
2,2.740714001,0.289702285
2,4.60296731,0.27180584
0,5.220795772,0.01081975
1,6.177823496,0.366427572
1,2.232099172,0.290843944
0,2.849067315,0.484042273
0,4.643396164,0.384823925
1,5.144941334,0.461433091
0,5.226421399,0.340054522
2,4.563425215,0.281122471
1,3.869376222,0.009455433
1,2.395514884,0.467474806
0,3.701187065,0.175735716
0,5.590350233,0.006125976
1,5.171902038,0.268877065
2,3.800623985,0.247317752
0,5.331388354,0.013301072
0,3.152773875,0.235488306
0,2.945168722,0.336317407
2,4.942321145,0.07891407
5,3.609739105,0.120749243
0,5.635900319,0.483974168
2,3.786797878,0.215972074
1,3.032465596,0.167401797
1,4.670385343,0.158716089
0,3.827753499,0.356374597
0,4.264435151,0.060584915
1,5.014618381,0.110118019
0,3.308818919,0.07473062
1,3.17742311,0.035081739
2,3.952184391,0.143420843
0,3.856515177,0.141759166
1,5.116963705,0.322436123
0,4.17791114,0.250832263
1,4.219144381,0.02931552
1,4.362783961,0.013382885
0,2.376372296,0.038975809
2,4.572656856,0.387081277
1,1.615362887,0.130883642
2,4.025060257,0.013908442
0,2.543896384,0.200472236
0,4.932729512,0.443491614
2,4.957328918,0.136802537
1,1.127108921,0.143378504
1,3.844099545,0.225947636
0,4.635425509,0.137396712
1,3.339485296,0.478773009
1,3.684416962,0.135389295
1,3.206855959,0.263933599
1,4.206616887,0.197538445
0,3.592642569,0.130732029
0,3.172518483,0.024917144
3,4.094456207,0.316932548
0,2.888373484,0.200219436
2,2.874226029,0.460747863
0,3.350367406,0.110425098
1,4.315850858,0.090550527
2,3.246174331,0.402387892
0,3.189336382,0.457147215
0,2.690557247,0.248457502
1,3.528608862,0.20679201
0,4.106210839,0.009994743
2,4.565406184,0.264038337
0,3.343522487,0.226172625
3,4.051354876,0.347016936
1,3.944053062,0.158992691
3,4.878431841,0.072880269
0,3.871353123,0.362788368
2,4.343557985,0.050224775
3,3.828971774,0.363181183
1,5.341716241,0.408057426
1,3.934635323,0.137647589
1,4.166588702,0.442634262
1,4.433452084,0.216748021
2,2.619087787,0.287972834
1,3.489205069,0.286865837
2,4.396036378,0.415045691
1,5.340650504,0.269391804
1,2.948227631,0.302573046
1,2.921875048,0.175549017
0,3.974263857,0.172558798
0,2.9322009,0.305619679
0,3.746600883,0.096529407
1,3.421006038,0.120970813
2,3.787086685,0.16002053
1,3.722100119,0.167284225
0,4.397823115,0.004035688
1,4.691096029,0.240157486
1,4.350340872,0.192331885
0,3.189968909,0.497106975
1,2.33584175,0.193261015
1,4.043709637,0.122090715
0,3.374166492,0.158575801
1,3.793409922,0.478600378
1,4.478660483,0.439974268
0,3.794807176,0.092949084
1,4.5886002,0.4586148
1,5.23218126,0.161611754
2,4.271938021,0.294698398
2,4.104984427,0.338625447
1,3.895498981,0.246178801
0,3.310201936,0.327663707
0,5.305033737,0.090930186
0,2.891109011,0.131017524
0,3.02688268,0.328769968
1,3.124043722,0.45551504
2,4.387229811,0.218867898
1,2.310337281,0.10729247
0,4.215899375,0.325011733
0,3.014429421,0.045892599
1,5.196267551,0.316873606
1,4.866962966,0.121344176
0,3.689747681,0.326816665
1,4.311453676,0.27212845
0,4.142585214,0.179167812
2,4.22421375,0.212744355
0,4.663830247,0.467973952
1,4.941289983,0.077850754
1,5.43308488,0.177919863
1,2.990641522,0.456634222
1,4.105851864,0.210359712
1,3.216897072,0.048394161
3,3.394419562,0.384718971
1,4.439172285,0.430675708
2,3.976700408,0.271788402
2,4.66871962,0.339563878
0,3.286771994,0.462512789
0,3.743569431,0.443762001
1,3.476110131,0.29227678
3,3.451278866,0.055924102
0,4.57540662,0.336266759
0,3.604070768,0.081500589
0,4.632089997,0.02294399
0,3.854827082,0.438589639
0,4.029960816,0.494508414
1,3.747770347,0.172795273
2,3.427233685,0.128043027
0,4.093036581,0.116231323
0,6.183257941,0.113487018
1,2.503585493,0.161668795
4,3.210708069,0.354902034
1,4.488160593,0.098539786
3,5.681425999,0.364905532
1,4.552573613,0.342893314
3,2.802860296,0.160900423
1,3.327444909,0.308718301
0,3.698799326,0.028101528
0,4.953259186,0.090767833
1,4.340433993,0.036553775
0,2.774770805,0.100284074
0,3.45544724,0.495553868
1,4.01822449,0.440197402
1,3.33863413,0.284345001
2,3.725192587,0.157917551
1,4.913363201,0.01393192
0,4.268075741,0.43105365
1,4.65758633,0.483564524
1,2.994987857,0.192849311
1,3.881694229,0.078750203
0,4.939286642,0.011403451
3,3.389984754,0.098955541
2,4.119889491,0.448028748
0,3.992692564,0.196002429
0,4.530619228,0.04551731
1,4.060415674,0.131169272
4,4.840921561,0.319083617
0,5.156774268,0.325867309
1,4.100968592,0.448506611
1,3.153825375,0.389086695
1,3.387506509,0.326091857
1,4.139548677,0.153789136
1,4.320762604,0.4687696
0,4.937260928,0.391908244
2,4.001618111,0.036525622
1,4.545554799,0.323798662
2,4.59353025,0.132325527
0,3.853781683,0.174665501
1,5.815521742,0.495544738
0,4.185752645,0.350530858
2,4.43530187,0.169220714
0,1.973922359,0.022297522
0,3.899896162,0.089627829
2,3.904986887,0.340570634
1,4.593518047,0.349864482
3,3.758617881,0.124743901
0,4.700313433,0.215517273
1,4.94163167,0.20080364
0,4.538327516,0.198215975
2,4.11253916,0.284751095
0,5.604814968,0.146170402
0,3.305589166,0.145186
2,3.059525959,0.477366325
0,5.285374551,0.320342206
1,5.146812475,0.186468245
2,3.227790368,0.410297
1,5.299879963,0.132497292
1,2.648094544,0.361570916
0,3.268512096,0.09362981
1,3.895184751,0.144025794
1,4.946901373,0.082984338
0,0.957632338,0.094845024
0,3.840576918,0.078640983
0,3.792714345,0.438757722
0,4.453032967,0.145251707
1,3.060449326,0.122673533
2,3.791290651,0.382434609
0,4.083141904,0.495958103
1,3.377428786,0.410195141
2,3.09108723,0.132146301
0,4.752502003,0.414480956
3,4.640015907,0.223135286
0,2.486326249,0.017309141
0,4.191322341,0.098740003
1,3.061327949,0.331237037
0,4.741665654,0.184608617
0,3.397110345,0.146889823
1,3.99238647,0.210617297
1,3.728062348,0.078138428
1,2.698513665,0.003161373
1,4.151092805,0.153504571
1,5.003918301,0.174057806
0,3.664197451,0.027376069
0,3.699896588,0.466035953
0,3.957873067,0.044755862
0,3.653710924,0.152986165
1,4.246132542,0.082792471
2,4.211306943,0.21052181
2,5.640277162,0.140360604
1,4.124074136,0.087160007
3,3.873740862,0.104096848
0,2.830557254,0.44080766
1,4.148282025,0.277693326
0,5.168973296,0.331820934
0,3.895188819,0.41905918
0,5.017077305,0.185868121
1,3.820748922,0.016482313
1,3.210970435,0.478460133
1,4.064774213,0.06262844
2,4.533141201,0.179577391
1,3.743882644,0.235220708
